student_id,attendance,study_hours,internal_marks,previous_result,final_result
1,92,4,88,Pass,Pass
2,85,3,78,Pass,Pass
3,70,2,65,Pass,Pass
4,60,2,55,Fail,Fail
5,45,1,40,Fail,Fail
6,88,4,90,Pass,Pass
7,76,3,72,Pass,Pass
8,55,2,50,Fail,Fail
9,90,5,92,Pass,Pass
10,66,2,60,Fail,Fail
11,80,3,75,Pass,Pass
12,58,1,48,Fail,Fail
13,72,3,68,Pass,Pass
14,49,1,42,Fail,Fail
15,95,5,94,Pass,Pass
16,83,4,80,Pass,Pass
17,62,2,58,Fail,Fail
18,77,3,70,Pass,Pass
19,54,1,45,Fail,Fail
20,86,4,82,Pass,Pass
21,68,2,63,Pass,Pass
22,47,1,38,Fail,Fail
23,91,5,90,Pass,Pass
24,73,3,69,Pass,Pass
25,59,2,52,Fail,Fail
26,84,4,79,Pass,Pass
27,65,2,60,Fail,Fail
28,78,3,74,Pass,Pass
29,52,1,44,Fail,Fail
30,89,4,87,Pass,Pass
31,71,3,66,Pass,Pass
32,56,2,49,Fail,Fail
33,93,5,91,Pass,Pass
34,75,3,71,Pass,Pass
35,48,1,41,Fail,Fail
36,82,4,78,Pass,Pass
37,64,2,59,Fail,Fail
38,79,3,76,Pass,Pass
39,51,1,43,Fail,Fail
40,87,4,84,Pass,Pass
41,69,2,64,Pass,Pass
42,46,1,39,Fail,Fail
43,94,5,93,Pass,Pass
44,74,3,70,Pass,Pass
45,57,2,51,Fail,Fail
46,81,4,77,Pass,Pass
47,63,2,58,Fail,Fail
48,76,3,73,Pass,Pass
49,50,1,42,Fail,Fail
50,90,5,89,Pass,Pass
51,72,3,67,Pass,Pass
52,55,2,47,Fail,Fail
53,88,4,86,Pass,Pass
54,67,2,62,Fail,Fail
55,79,3,75,Pass,Pass
56,49,1,40,Fail,Fail
57,91,5,92,Pass,Pass
58,73,3,68,Pass,Pass
59,58,2,50,Fail,Fail
60,85,4,81,Pass,Pass
61,66,2,61,Fail,Fail
62,78,3,74,Pass,Pass
63,52,1,44,Fail,Fail
64,89,4,88,Pass,Pass
65,71,3,66,Pass,Pass
66,54,2,46,Fail,Fail
67,92,5,90,Pass,Pass
68,75,3,71,Pass,Pass
69,57,2,49,Fail,Fail
70,83,4,80,Pass,Pass
71,65,2,60,Fail,Fail
72,77,3,72,Pass,Pass
73,48,1,41,Fail,Fail
74,86,4,83,Pass,Pass
75,69,2,64,Pass,Pass
76,51,1,43,Fail,Fail
77,93,5,94,Pass,Pass
78,74,3,70,Pass,Pass
79,56,2,48,Fail,Fail
80,82,4,79,Pass,Pass
81,63,2,58,Fail,Fail
82,76,3,73,Pass,Pass
83,50,1,42,Fail,Fail
84,88,4,85,Pass,Pass
85,70,3,65,Pass,Pass
86,55,2,47,Fail,Fail
87,91,5,92,Pass,Pass
88,73,3,68,Pass,Pass
89,59,2,51,Fail,Fail
90,84,4,80,Pass,Pass
91,66,2,61,Fail,Fail
92,78,3,74,Pass,Pass
93,52,1,44,Fail,Fail
94,89,4,88,Pass,Pass
95,71,3,66,Pass,Pass
96,54,2,46,Fail,Fail
97,92,5,91,Pass,Pass
98,75,3,71,Pass,Pass
99,57,2,49,Fail,Fail
100,85,4,82,Pass,Pass
